X	PHI
  -2.532	  -0.469
  -2.531	  -0.469
  -2.531	  -0.470
  -2.530	  -0.470
  -2.530	  -0.471
  -2.529	  -0.472
  -2.528	  -0.472
  -2.528	  -0.473
  -2.527	  -0.473
  -2.527	  -0.474
  -2.526	  -0.475
  -2.525	  -0.475
  -2.525	  -0.476
  -2.524	  -0.476
  -2.524	  -0.477
  -2.523	  -0.478
  -2.522	  -0.478
  -2.522	  -0.479
  -2.521	  -0.479
  -2.521	  -0.480
  -2.520	  -0.481
  -2.519	  -0.481
  -2.519	  -0.482
  -2.518	  -0.482
  -2.518	  -0.483
  -2.517	  -0.484
  -2.516	  -0.484
  -2.516	  -0.485
  -2.515	  -0.485
  -2.515	  -0.486
  -2.514	  -0.487
  -2.513	  -0.487
  -2.513	  -0.488
  -2.512	  -0.488
  -2.512	  -0.489
  -2.511	  -0.490
  -2.510	  -0.490
  -2.510	  -0.491
  -2.509	  -0.491
  -2.509	  -0.492
  -2.508	  -0.493
  -2.507	  -0.493
  -2.507	  -0.494
  -2.506	  -0.494
  -2.506	  -0.495
  -2.505	  -0.496
  -2.504	  -0.496
  -2.504	  -0.497
  -2.503	  -0.497
  -2.503	  -0.498
  -2.502	  -0.499
  -2.501	  -0.499
  -2.501	  -0.500
  -2.500	  -0.501
  -2.500	  -0.501
  -2.499	  -0.502
  -2.498	  -0.502
  -2.498	  -0.503
  -2.497	  -0.504
  -2.497	  -0.504
  -2.496	  -0.505
  -2.495	  -0.505
  -2.495	  -0.506
  -2.494	  -0.507
  -2.494	  -0.507
  -2.493	  -0.508
  -2.492	  -0.508
  -2.492	  -0.509
  -2.491	  -0.510
  -2.491	  -0.510
  -2.490	  -0.511
  -2.489	  -0.511
  -2.489	  -0.512
  -2.488	  -0.513
  -2.488	  -0.513
  -2.487	  -0.514
  -2.486	  -0.514
  -2.486	  -0.515
  -2.485	  -0.516
  -2.485	  -0.516
  -2.484	  -0.517
  -2.483	  -0.517
  -2.483	  -0.518
  -2.482	  -0.519
  -2.482	  -0.519
  -2.481	  -0.520
  -2.480	  -0.520
  -2.480	  -0.521
  -2.479	  -0.522
  -2.479	  -0.522
  -2.478	  -0.523
  -2.477	  -0.523
  -2.477	  -0.524
  -2.476	  -0.525
  -2.476	  -0.525
  -2.475	  -0.526
  -2.474	  -0.526
  -2.474	  -0.527
  -2.473	  -0.528
  -2.473	  -0.528
  -2.472	  -0.529
  -2.471	  -0.529
  -2.471	  -0.530
  -2.470	  -0.531
  -2.470	  -0.531
  -2.469	  -0.532
  -2.468	  -0.532
  -2.468	  -0.533
  -2.467	  -0.534
  -2.467	  -0.534
  -2.466	  -0.535
  -2.465	  -0.535
  -2.465	  -0.536
  -2.464	  -0.537
  -2.464	  -0.537
  -2.463	  -0.538
  -2.462	  -0.538
  -2.462	  -0.539
  -2.461	  -0.540
  -2.461	  -0.540
  -2.460	  -0.541
  -2.459	  -0.541
  -2.459	  -0.542
  -2.458	  -0.543
  -2.458	  -0.543
  -2.457	  -0.544
  -2.456	  -0.544
  -2.456	  -0.545
  -2.455	  -0.546
  -2.455	  -0.546
  -2.454	  -0.547
  -2.453	  -0.547
  -2.453	  -0.548
  -2.452	  -0.549
  -2.452	  -0.549
  -2.451	  -0.550
  -2.450	  -0.550
  -2.450	  -0.551
  -2.449	  -0.552
  -2.449	  -0.552
  -2.448	  -0.553
  -2.447	  -0.553
  -2.447	  -0.554
  -2.446	  -0.555
  -2.446	  -0.555
  -2.445	  -0.556
  -2.444	  -0.556
  -2.444	  -0.557
  -2.443	  -0.558
  -2.443	  -0.558
  -2.442	  -0.559
  -2.441	  -0.559
  -2.441	  -0.560
  -2.440	  -0.561
  -2.440	  -0.561
  -2.439	  -0.562
  -2.438	  -0.562
  -2.438	  -0.563
